title,location,price,bedrooms,bathrooms,toilets,property_type,url
Spacious 3-bedroom Apartment,"Banana Island, Ikoyi, Lagos","₦65,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3257062-spacious-3-bedroom-apartment
3 Bedroom Flat,"Banana Island, Ikoyi, Lagos","₦60,000,000 per annum",3,0,0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3262907-3-bedroom-flat
3 Bedroom Fully Furnished  Apartment  Fully Serviced,"Banana Island, Ikoyi, Lagos","₦60,000,000 per annum",3,4,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3266821-3-bedroom-fully-furnished-apartment-fully-serviced
Fully Serviced & Furnished 3-bedroom Apartment With Sea View & Pool,"Banana Island, Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3165753-fully-serviced-furnished-3-bedroom-apartment-with-sea-view-pool
Brand New Luxury 3 Bedrooms Apartment,"Banana Island, Ikoyi, Lagos","$45,000 per annum 
approx. ₦63,947,717",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/2949804-brand-new-luxury-3-bedrooms-apartment
Affordable And Spacious 3 Bedroom Apartment + Bq,"Banana Island, Ikoyi, Lagos","₦40,000,000 per annum",3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3252884-affordable-and-spacious-3-bedroom-apartment-bq
Exquisite 3 Bedroom Maisonette,"Banana Island, Ikoyi, Lagos","₦60,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3273440-exquisite-3-bedroom-maisonette
Fully Furnished 2-bedroom Apartment,"Banana Island, Ikoyi, Lagos","₦30,000,000 per annum",2,2,3,2 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/3260285-fully-furnished-2-bedroom-apartment
"Luxury Serviced 3 Bedroom Maisonette + Bq, Swimming Pool, Gym","Banana Island, Ikoyi, Lagos","₦100,000,000 per annum",3,3,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/3269779-luxury-serviced-3-bedroom-maisonette-bq-swimming-pool-gym
5 Bedrooms Terrace With Bq & Swimming Pool,"Banana Island, Ikoyi, Lagos","₦80,000,000 per annum",5,0,0,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3257607-5-bedrooms-terrace-with-bq-swimming-pool
