title,location,price,bedrooms,bathrooms,toilets,property_type,url
Office space for rent,"Ikate, Lekki, Lagos","₦9,320,000per annum",0,0,0,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/lekki/ikate/3139767-100sqm-open-plan-office-space
Office space for rent,"Ikate Elegushi, Ikate, Lekki, Lagos","₦9,230,000per annum",0,0,0,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/lekki/ikate/3139158-142-sqm-office-space
28 bedroom house for rent,"Ikate, Lekki, Lagos","₦400,000,000per annum",28,28,28,28 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/ikate/3146653-fantastic-18-units-of-1-2-bedroom-apartments
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦13,000,000per annum",2,2,2,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3145815-fully-serviced-2-bedroom-apartment-with-elevator-and-pool
2 bedroom flat / apartment for rent,"Ilasan, Ikate, Lekki, Lagos","₦7,000,000per annum",2,0,0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3144246-modern-built-luxury-fully-serviced-2-bedrooms-apartment-upstairs
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦6,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/2908592-2-bedrooms
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦14,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3143039-well-furnished-2-bedroom-apartment
3 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦16,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3142031-furnished-3-bedroom-apartment
3 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3141938-fully-serviced-3-bedroom-apartment
4 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦18,000,000per annum",4,0,0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3140819-4-bedroom-terrace-duplex-with-swimming-pool
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3028775-furnished-2-bedroom-with-swimming-pool-and-gym
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3138691-2
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3137607-newly-built-serviced-2-bedroom-apartment
4 bedroom semi-detached duplex for rent,"Oral Estate, Ikota, Lekki, Lagos","₦8,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikota/3302602-newly-built-4-bedroom-semi-detached-duplex
5 bedroom detached duplex for rent,"Megamound Estate, Ikota, Lekki, Lagos","₦20,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikota/3303413-standard-5-bedrooms-detached-duplex-with-bq
2 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos","₦10,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ologolo/3302610-newly-built-smart-home-2-bedroom-apartment-with-elevator-and-bq
5 bedroom detached duplex for rent,"Pinnock Beach Estate, Osapa, Lekki, Lagos","₦40,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/osapa/3303411-furnished-5-bedroom-detached-duplex-in-an-estate
Self contain (single rooms) for rent,"Nike Art Gallery Way, Ikate, Lekki, Lagos","₦1,500,000per annum",0,1,1,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/ikate/3267621-a-fully-serviced-room-bq-with-wardrobe-and-swimming-pool
4 bedroom terraced duplex for rent,"Hakeem Dickson Elf, Lekki, Lagos","₦25,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/3303394-4-bedroom-triplex-with-bq
